Restaurant Name,Category,Rating,Cost for Two (in Rupees),Area,Offer,URL
King of Taste,"Arabian, Fast Food",NA,150,Kammanahalli,NA,https://www.swiggy.com/restaurants/king-of-taste-kammanahalli-kalyan-nagar-bangalore-434864
Polar Bear,"Ice Cream, Desserts",NA,300,Kammanahalli,NA,https://www.swiggy.com/restaurants/polar-bear-hrbr-layout-kalyan-nagar-bangalore-5890
Pure Veg Meals by Lunchbox,"North Indian, Desserts, Biryani",3.1,200,Kammanahalli,NA,https://www.swiggy.com/restaurants/pure-veg-meals-by-lunchbox-kasturi-nagar-bangalore-263652
Panda Boy,Chinese,NA,400,Kammanahalli,NA,https://www.swiggy.com/restaurants/panda-boy-behind-jal-vayu-vihar-kacharakanahalli-bangalore-2144
Cafe Delico,Beverages,NA,150,Kammanahalli,NA,https://www.swiggy.com/restaurants/cafe-delico-kalyan-nagar-kammanahalli-bangalore-292076
Ismail Bhai,"Biryani, South Indian, Beverages, Snacks",NA,400,Kammanahalli,NA,https://www.swiggy.com/restaurants/ismail-bhai-hbr-layout-bangalore-295222
Pathaan Sir,Fast Food,3.6,150,Kammanahalli,NA,https://www.swiggy.com/restaurants/pathaan-sir-2nd-block-kammanahalli-bangalore-17590
Barbeque Nation,"North Indian, Barbecue, Biryani, Kebabs, Mughlai, Desserts",3.8,600,Kammanahalli,NA,https://www.swiggy.com/restaurants/barbeque-nation-kalyannagar-kalyan-nagar-bangalore-295102
Bamboo Restaurant,"Biryani, South Indian, North Indian, Continental, Seafood",NA,300,Kammanahalli,NA,https://www.swiggy.com/restaurants/bamboo-restaurant-5th-main-road-kalyan-nagar-bangalore-108094
TAWA MAFIA,"North Indian, Indian, Street Food",NA,300,Kammanahalli,NA,https://www.swiggy.com/restaurants/tawa-mafia-kammanahalli-kalyan-nagar-bangalore-444432
TrueCakes,"Desserts, Bakery",NA,300,Kammanahalli,NA,https://www.swiggy.com/restaurants/truecakes-kammanahalli-kalyan-nagar-kammanahalli-circle-bangalore-445641
Kekou,Chinese,NA,800,Kammanahalli,NA,https://www.swiggy.com/restaurants/kekou-kammanahalli-kalyan-nagar-bangalore-422899
BIB - English Breakfast in the Box,American,NA,350,Kammanahalli,NA,https://www.swiggy.com/restaurants/bib-english-breakfast-in-the-box-arabic-college-post-kacharakanahalli-bangalore-55156
Big Bowl Company,"North Indian, Chinese, Biryani, Fast Food",3.8,250,Kammanahalli,NA,https://www.swiggy.com/restaurants/big-bowl-company-kammanahalli-kalyan-nagar-bangalore-388117
Cafe by Nature's Basket,"Fast Food, Desserts",NA,200,Kammanahalli,NA,https://www.swiggy.com/restaurants/cafe-by-natures-basket-kammanahalli-kalyan-nagar-bangalore-442004
AMERICAN PIZZA,"American, Italian",NA,300,Kammanahalli,NA,https://www.swiggy.com/restaurants/american-pizza-kammanahalli-kalyan-nagar-bangalore-442247
The Elephant Bowl Resto Cafe,"Continental, Italian",NA,250,Kammanahalli,NA,https://www.swiggy.com/restaurants/the-elephant-bowl-resto-cafe-2nd-block-kalyan-nagar-hbr-layout-bangalore-208618
Peppy Parathas & Rolls By Chai Point,"Bakery, Combo, Beverages, Maharashtrian, Snacks, Street Food, South Indian, Punj...",NA,150,Kammanahalli,NA,https://www.swiggy.com/restaurants/peppy-parathas-and-rolls-by-chai-point-hrbr-layout-kammanahalli-bangalore-481816
The Shake Company,"Healthy Food, American, Desserts, Beverages",NA,300,Kammanahalli,NA,https://www.swiggy.com/restaurants/the-shake-company-kammanahalli-kalyan-nagar-kacharakanahalli-bangalore-191458
Grill House by Fipola,"Grill, Seafood, Arabian",NA,350,Kammanahalli,NA,https://www.swiggy.com/restaurants/grill-house-by-fipola-kammanahalli-kalyan-nagar-bangalore-477449
Zamindars Biryani Durbar,"Mughlai, Chinese",NA,500,Kammanahalli,NA,https://www.swiggy.com/restaurants/zamindars-biryani-durbar-hrbr-layout-2nd-block-kalyan-nagar-kammanahalli-bangalore-95816
AL-KHAIR RESTAURANT,"North Indian, Chinese, Fast Food",NA,200,Kammanahalli,NA,https://www.swiggy.com/restaurants/al-khair-restaurant-kammanahalli-kalyan-nagar-bangalore-473181
Ibaco,Desserts,NA,800,Kammanahalli,NA,https://www.swiggy.com/restaurants/ibaco-opp-to-sub-registrar-office-kalyan-nagar-bangalore-49837
fruit and dessert,"Healthy Food, Desserts",NA,200,Kammanahalli,NA,https://www.swiggy.com/restaurants/fruit-and-dessert-kammanahalli-kalyan-nagar-bangalore-405012
low carb keto pizza,"Pizzas, Italian",NA,300,Kammanahalli,NA,https://www.swiggy.com/restaurants/low-carb-keto-pizza-kammanahalli-kalyan-nagar-bangalore-479841
Chai Monks,"Beverages, Snacks, Fast Food",NA,150,Kammanahalli,NA,https://www.swiggy.com/restaurants/chai-monks-kammanahalli-kalyan-nagar-bangalore-535993
Shri Nellore Mess,Biryani,3.8,450,Kammanahalli,NA,https://www.swiggy.com/restaurants/shri-nellore-mess-hbr-layout-kalyan-nagar-bangalore-376169
The Burrito Company,"Mexican, Salads, Healthy Food",NA,200,Kammanahalli,NA,https://www.swiggy.com/restaurants/the-burrito-company-kalyan-nagar-kammanahalli-bangalore-368782
Breezy Cow Bar,Desserts,NA,270,Kammanahalli,NA,https://www.swiggy.com/restaurants/breezy-cow-bar-2nd-block-kalyan-nagar-bangalore-49710
Amma's Pastries,"Bakery, Desserts",NA,350,Kammanahalli,NA,https://www.swiggy.com/restaurants/ammas-pastries-kammanahalli-kalyan-nagar-bangalore-377378
SS Al Amal Shahi Roll,"Biryani, Chinese",NA,120,Kammanahalli,NA,https://www.swiggy.com/restaurants/ss-al-amal-shahi-roll-kammanahalli-kalyan-nagar-bangalore-393623
Hawaiian Foodies,Indian,NA,200,Kammanahalli,NA,https://www.swiggy.com/restaurants/hawaiian-foodies-kalyan-nagar-kammanahalli-kalyan-nagar-bangalore-391322
ITC Fabelle Chocolates,"Bakery, Desserts, Sweets",NA,600,Kammanahalli,NA,https://www.swiggy.com/restaurants/itc-fabelle-chocolates-gate-4-jeevanahalli-main-rd-cox-town-bangalore-339542
Biryani Blues,Biryani,NA,400,Kammanahalli,NA,https://www.swiggy.com/restaurants/biryani-blues-kammanahalli-kalyan-nagar-bangalore-487103
Dindigul Thalappakatti,"Biryani, Barbecue, South Indian, Chinese, North Indian",3.7,600,Kammanahalli,NA,https://www.swiggy.com/restaurants/dindigul-thalappakatti-kammanahalli-kalyan-nagar-bangalore-269904
Shree Krishna Chaats and Fast Food,"Chaat, Snacks, Fast Food",3.5,200,Kammanahalli,NA,https://www.swiggy.com/restaurants/shree-krishna-chaats-and-fast-food-kammanahalli-kalyan-nagar-bangalore-429586
HAKKA BOX,"Chinese, Pan-Asian",NA,250,Kammanahalli,NA,https://www.swiggy.com/restaurants/hakka-box-kammanahalli-kalyan-nagar-bangalore-417125
Mama's Rasoi,"Indian, Biryani",NA,250,Kammanahalli,NA,https://www.swiggy.com/restaurants/mamas-rasoi-kammanahalli-kalyan-nagar-bangalore-542290
Have More,"Punjabi, North Indian, Mughlai",NA,600,Kammanahalli,NA,https://www.swiggy.com/restaurants/have-more-hrbr-layout-kacharakanahalli-bangalore-14738
The Empire Juice Shop,"Juices, Ice Cream",NA,200,Kammanahalli,NA,https://www.swiggy.com/restaurants/the-empire-juice-shop-kammanahalli-kalyan-nagar-kacharakanahalli-bangalore-279821
SAMPRADAYA,Sweets,NA,500,Kammanahalli,NA,https://www.swiggy.com/restaurants/sampradaya-kammanahalli-kalyan-nagar-bangalore-511778
Chandni Chowk,"North Indian, Fast Food, Street Food, Chaat, Sweets, Snacks, Combo",3.4,150,Kammanahalli,NA,https://www.swiggy.com/restaurants/chandni-chowk-electronic-city-kalyan-nagar-bangalore-304441
Khadak Singh Ka Dhaba,"North Indian, Tandoor, Indian, Biryani, Grill, Juices, Desserts, Beverages",3.3,450,Kammanahalli,NA,https://www.swiggy.com/restaurants/khadak-singh-ka-dhaba-kalyan-nagar-bangalore-158051
Asia Kitchen By Mainland China,"Asian, Chinese, Oriental",NA,850,Kammanahalli,NA,https://www.swiggy.com/restaurants/asia-kitchen-by-mainland-china-marutinagar-main-road-kalyan-nagar-bangalore-305777
AHAMAD'S CHICKEN HUT,Indian,NA,300,Kammanahalli,NA,https://www.swiggy.com/restaurants/ahamads-chicken-hut-banasawadi-road-subanapalya-banswadi-bangalore-509101
Hotel Kandhasamy,"Chettinad, South Indian, Biryani, Seafood",NA,500,Kammanahalli,NA,https://www.swiggy.com/restaurants/hotel-kandhasamy-kammanahalli-kalyan-nagar-bangalore-306987
Punith Food court,"South Indian, Chinese",3.4,200,Kammanahalli,NA,https://www.swiggy.com/restaurants/punith-food-court-kammanahalli-kalyan-nagar-bangalore-507163
Food Star Restaurant,Indian,NA,200,Kammanahalli,NA,https://www.swiggy.com/restaurants/food-star-restaurant-ms-nagar-ramaswamipalya-maruthi-sevanagar-bangalore-194377
Hao Chi,"Chinese, Thai, Pan-Asian, Asian, Desserts",3.9,400,Kammanahalli,NA,https://www.swiggy.com/restaurants/hao-chi-80-ft-main-road-hbr-layout-bangalore-232734
Cooke & Co,"Indian, Desserts",3.5,350,Kammanahalli,NA,https://www.swiggy.com/restaurants/cooke-and-co-kammanahalli-kalyan-nagar-cooke-town-bangalore-404035
Rolls King,Indian,NA,250,Kammanahalli,NA,https://www.swiggy.com/restaurants/rolls-king-kammanahalli-kalyan-nagar-bangalore-544214
Bowl of China,"Chinese, Asian, Thai",NA,300,Kammanahalli,NA,https://www.swiggy.com/restaurants/bowl-of-china-kammanahalli-kalyan-nagar-bangalore-491958
Bismillah Kabab Center,"Kebabs, Snacks, Indian",NA,200,Kammanahalli,NA,https://www.swiggy.com/restaurants/bismillah-kabab-center-kammanahalli-kalyan-nagar-bangalore-488545
Just Bake,Bakery,NA,300,Kammanahalli,NA,https://www.swiggy.com/restaurants/just-bake-kammanahalli-kalyan-nagar-kasturi-nagar-ombrlayout-vanaswadi-bangalore-519375
Ministry of Parathas,North Indian,NA,200,Kammanahalli,NA,https://www.swiggy.com/restaurants/ministry-of-parathas-kammanahalli-kalyan-nagar-bangalore-295087
Goila Butter Chicken,"North Indian, Mughlai, Biryani, Indian",NA,600,Kammanahalli,NA,https://www.swiggy.com/restaurants/goila-butter-chicken-channasandra-bangalore-533217
THATTE IDLI POINT,South Indian,NA,100,Kammanahalli,NA,https://www.swiggy.com/restaurants/thatte-idli-point-kammanahalli-kalyan-nagar-bangalore-420657
New Halli Mane,"Chinese, Indian, South Indian, Biryani",NA,200,Kammanahalli,NA,https://www.swiggy.com/restaurants/new-halli-mane-kammanahalli-kalyan-nagar-bangalore-534424
Popular Pizza,Pizzas,NA,200,Kammanahalli,NA,https://www.swiggy.com/restaurants/popular-pizza-kammanahalli-kalyan-nagar-bangalore-509457
McDonald's,"Burgers, Beverages, Cafe, Desserts",NA,400,Kammanahalli,NA,https://www.swiggy.com/restaurants/mcdonalds-kamanahalli-kalyan-nagar-bangalore-23693
Biriyani @99,"Indian, Biryani",NA,200,Kammanahalli,NA,https://www.swiggy.com/restaurants/biriyani-99-kammanahalli-kalyan-nagar-bangalore-546402
The Mughal's Lounge,"Hyderabadi, Chinese, South Indian, Beverages",NA,300,Kammanahalli,NA,https://www.swiggy.com/restaurants/the-mughals-lounge-kammanahalli-kalyan-nagar-bangalore-492801
Peppa Zzing,Street Food,3.8,500,Kammanahalli,NA,https://www.swiggy.com/restaurants/peppa-zzing-kalyan-nagar-kammanahalli-bangalore-20060
Kitchens of Punjab,North Indian,NA,500,Kammanahalli,NA,https://www.swiggy.com/restaurants/kitchens-of-punjab-kammanahalli-kalyan-nagar-bangalore-536847
A1 TAWAKKAL HOTEL,"Indian, Biryani, Chinese",NA,150,Kammanahalli,NA,https://www.swiggy.com/restaurants/a1-tawakkal-hotel-kammanahalli-kalyan-nagar-bangalore-454886
The Lassi Corner,"Beverages, Ice Cream, Desserts",3.3,150,Kammanahalli,NA,https://www.swiggy.com/restaurants/the-lassi-corner-kammanahalli-kalyan-nagar-bangalore-451011
Al Amanah Cafe,"Middle Eastern, Snacks, Beverages",NA,250,Kammanahalli,NA,https://www.swiggy.com/restaurants/al-amanah-cafe-kammanahalli-kalyan-nagar-bangalore-136031
Aroma Of Bangalore,"Indian, Chinese",3.3,400,Kammanahalli,NA,https://www.swiggy.com/restaurants/aroma-of-bangalore-kammanahalli-kalyan-nagar-bangalore-416166
BANGKOK BOWL ,"Chinese, Asian, Thai",NA,500,Kammanahalli,NA,https://www.swiggy.com/restaurants/bangkok-bowl-kalyan-nagar-kammanahalli-bangalore-62150
Bhagini,"Andhra, Chinese, Coastal, North Indian, South Indian, Mughlai, Seafood, Biryani,...",NA,650,Kammanahalli,NA,https://www.swiggy.com/restaurants/bhagini-banaswadi-bangalore-47635
BUCKET BIRYANI,"Biryani, North Indian, Chinese",3.9,700,Kammanahalli,NA,https://www.swiggy.com/restaurants/bucket-biryani-down-kammanahalli-5th-main-bescom-road-kullappa-circle-bangalore-454680
O2 Juice Bar,"Juices, Healthy Food, Salads, Desserts, Beverages",NA,150,Kammanahalli,NA,https://www.swiggy.com/restaurants/o2-juice-bar-kammanahalli-lingarajapuram-bangalore-290761
RAGHANNA  MILITARY  HOTEL,"Indian, Biryani, Chinese",NA,350,Kammanahalli,NA,https://www.swiggy.com/restaurants/raghanna-military-hotel-banaswadi-kalyan-nagar-bangalore-545535
The Deagh,"Chinese, North Indian, Fast Food, Andhra, Mughlai, Seafood, Hyderabadi",NA,500,Kammanahalli,NA,https://www.swiggy.com/restaurants/the-deagh-hrbr-layout-2nd-block-kalyan-nagar-bangalore-118802
Rolls & Bowls Company,"North Indian, Chinese, Desserts",3.7,250,Kammanahalli,NA,https://www.swiggy.com/restaurants/rolls-and-bowls-company-kammanahalli-kalyan-nagar-bangalore-388298
The Momo Co.,Tibetan,3.8,250,Kammanahalli,NA,https://www.swiggy.com/restaurants/the-momo-co-kammanahalli-kalyan-nagar-bangalore-388299
Punjabi Nawabi,"North Indian, Biryani, Chinese",3.3,400,Kammanahalli,NA,https://www.swiggy.com/restaurants/punjabi-nawabi-kammanahalli-kalyan-nagar-hennur-gardens-bangalore-359966
GOPIZZA,"Pizzas, Snacks, Beverages",3.7,300,Kammanahalli,NA,https://www.swiggy.com/restaurants/gopizza-kammanahalli-kalyan-nagar-bangalore-461181
American Bites,"Pizzas, American",NA,400,Kammanahalli,NA,https://www.swiggy.com/restaurants/american-bites-kullappa-circle-kalyan-nagar-bangalore-892
Sweet Truth - Cake and Desserts,"Bakery, Desserts, Beverages",NA,450,Kammanahalli,NA,https://www.swiggy.com/restaurants/sweet-truth-cake-and-desserts-kasturi-nagar-bangalore-35895
Hotel Empire,"North Indian, Kebabs, Biryani",NA,450,Kammanahalli,NA,https://www.swiggy.com/restaurants/hotel-empire-nehru-main-road-kacharakanahalli-bangalore-897
Gowdru Hotel,South Indian,NA,149,Kammanahalli,NA,https://www.swiggy.com/restaurants/gowdru-hotel-banaswadi-bangalore-54410
Coorg pork station,"Biryani, Chinese",3.8,400,Kammanahalli,NA,https://www.swiggy.com/restaurants/coorg-pork-station-kammanahalli-kalyan-nagar-bangalore-377045
O2 Shakes & Smoothies,"Beverages, Juices",NA,150,Kammanahalli,NA,https://www.swiggy.com/restaurants/o2-shakes-and-smoothies-kammanahalli-kalyan-nagar-bangalore-491944
Donne Biryani @99,"South Indian, Biryani",NA,200,Kammanahalli,NA,https://www.swiggy.com/restaurants/donne-biryani-99-kammanahalli-kalyan-nagar-bangalore-434961
Al-Baik Tandoori restaurant,"North Indian, Tandoor, Chinese, Arabian, Biryani",NA,300,Kammanahalli,NA,https://www.swiggy.com/restaurants/al-baik-tandoori-restaurant-kammanahalli-kalyan-nagar-hbr-layout-bangalore-262261
An Egg Story,"American, Continental, Italian",NA,350,Kammanahalli,NA,https://www.swiggy.com/restaurants/an-egg-story-kalyan-nagar-banga-kammanahalli-bangalore-47865
Mainland China,"Chinese, Asian, Oriental, Thai, Pan-Asian, Seafood, Desserts",NA,850,Kammanahalli,NA,https://www.swiggy.com/restaurants/mainland-china-marutinagar-main-road-kammanahalli-kalyan-nagar-bangalore-5572
Vapor kitchen,"Chinese, Continental",NA,450,Kammanahalli,NA,https://www.swiggy.com/restaurants/vapor-kitchen-kammanahalli-kalyan-nagar-bangalore-411720
GFC Nammuru Biryani,"Biryani, South Indian, Indian, Snacks",NA,300,Kammanahalli,NA,https://www.swiggy.com/restaurants/gfc-nammuru-biryani-kammanahalli-kalyan-nagar-bangalore-499663
Bombay Kulfi,"Desserts, Ice Cream",NA,100,Kammanahalli,NA,https://www.swiggy.com/restaurants/bombay-kulfi-kammanahalli-kalyan-nagar-bangalore-408976
The Only Biryani Co,"Biryani, Mughlai, Kebabs",NA,300,Kammanahalli,NA,https://www.swiggy.com/restaurants/the-only-biryani-co-kammanahalli-kalyan-nagar-bangalore-503926
Roti Ghar Ki,"North Indian, Chinese, Punjabi, Home Food, Indian",3.8,150,Kammanahalli,NA,https://www.swiggy.com/restaurants/roti-ghar-ki-kammanahalli-kalyan-nagar-bangalore-467968
AL-SHAMS SHAWARMA+ROLLS,"Arabian, Snacks",NA,250,Kammanahalli,NA,https://www.swiggy.com/restaurants/al-shams-shawarma-rolls-kammanahalli-kalyan-nagar-bangalore-526900
Om meals and Paratha junction,"North Indian, South Indian, Home Food, Desserts, Beverages, Chinese, Biryani, Ke...",3.7,15,Kammanahalli,NA,https://www.swiggy.com/restaurants/om-meals-and-paratha-junction-hennur-kalyan-nagar-bangalore-127872
Regency park,"Mughlai, North Indian, Chinese, Biryani, Coastal",NA,600,Kammanahalli,NA,https://www.swiggy.com/restaurants/regency-park-mariappa-circle-kalyan-nagar-bangalore-25974
CHEELIZZA PIZZA NEW YORK,Italian,NA,300,Kammanahalli,NA,https://www.swiggy.com/restaurants/cheelizza-pizza-new-york-kammanahalli-kalyan-nagar-italian-bangalore-422861
MohkaA BurgerZ,"American, Snacks, Juices",NA,400,Kammanahalli,NA,https://www.swiggy.com/restaurants/mohkaa-burgerz-kammanahalli-kalyan-nagar-bangalore-525817
Chandini Chowk,"Indian, Tandoor, Biryani",NA,300,Kammanahalli,NA,https://www.swiggy.com/restaurants/chandini-chowk-kammanahalli-kalyan-nagar-bangalore-487317
Mani's Dum Biryani,Biryani,NA,499,Kammanahalli,NA,https://www.swiggy.com/restaurants/manis-dum-biryani-kammanahalli-kalyan-nagar-bangalore-44239
HomeLike,"Home Food, North Indian, Biryani, Thalis, Beverages, Chinese, Healthy Food, Indi...",3.8,300,Kammanahalli,NA,https://www.swiggy.com/restaurants/homelike-nehru-rd-kacharakanahalli-bangalore-208667
Imperio Combo King,"North Indian, Combo",NA,250,Kammanahalli,NA,https://www.swiggy.com/restaurants/imperio-combo-king-kammanahalli-kalyan-nagar-bangalore-335155
Carols pastries and bakers,Bakery,NA,500,Kammanahalli,NA,https://www.swiggy.com/restaurants/carols-pastries-and-bakers-nagavara-and-hennur-bangalore-533798
Istah Shawarma,"Arabian, Lebanese, Snacks, Beverages",NA,250,Kammanahalli,NA,https://www.swiggy.com/restaurants/istah-shawarma-kammanahalli-kalyan-nagar-bangalore-498324
Hotel New karavali,"Chinese, North Indian",3.8,450,Kammanahalli,NA,https://www.swiggy.com/restaurants/hotel-new-karavali-hennur-road-hbr-layout-bangalore-110080
Mad Over Donuts,"Desserts, Sweets, Bakery",NA,200,Kammanahalli,NA,https://www.swiggy.com/restaurants/mad-over-donuts-kalyan-nagar-dodda-banaswadi-bangalore-292838
Karachi Bakery,"Bakery, Desserts",NA,400,Kammanahalli,NA,https://www.swiggy.com/restaurants/karachi-bakery-kalyan-nagar-bangalore-101192
WarmOven Cakes & Desserts,"Bakery, Desserts, Beverages",NA,200,Kammanahalli,NA,https://www.swiggy.com/restaurants/warmoven-cakes-and-desserts-kammanahalli-kalyan-nagar-bangalore-66894
Fiero! Pizzeria,"Pizzas, Italian, Pastas, Desserts, Beverages",NA,350,Kammanahalli,NA,https://www.swiggy.com/restaurants/fiero-pizzeria-kammanahalli-kalyan-nagar-bangalore-285111
Cupcake Bliss Cakes & Desserts,"Bakery, Desserts, Beverages",3.5,200,Kammanahalli,NA,https://www.swiggy.com/restaurants/cupcake-bliss-cakes-and-desserts-kammanahalli-kalyan-nagar-bangalore-66891
Aritaaku,"Andhra, Chinese, Biryani, North Indian",NA,300,Kammanahalli,NA,https://www.swiggy.com/restaurants/aritaaku-kammanahalli-kalyan-nagar-bangalore-512673
Indiana Burgers,"American, Beverages",NA,150,Kammanahalli,NA,https://www.swiggy.com/restaurants/indiana-burgers-kammanahalli-kalyan-nagar-bangalore-66896
Goldline Breadz,"Bakery, Desserts",NA,200,Kammanahalli,NA,https://www.swiggy.com/restaurants/goldline-breadz-kammanahalli-main-road-kalyan-nagar-bangalore-182591
BIRYANI BAZAR,"Biryani, Tandoor, Coastal, Seafood",NA,199,Kammanahalli,NA,https://www.swiggy.com/restaurants/biryani-bazar-kammanahalli-kalyan-nagar-banaswadi-bangalore-253481
Desi Khana,North Indian,3.2,200,Kammanahalli,NA,https://www.swiggy.com/restaurants/desi-khana-kammanahalli-kalyan-nagar-bangalore-485001
Desi Paratha Gali,"North Indian, Snacks",NA,200,Kammanahalli,NA,https://www.swiggy.com/restaurants/desi-paratha-gali-geddalahalli-bangalore-532167
Ambur Star Briyani Since 1890,"Biryani, Chettinad, Andhra, Beverages, Seafood",NA,600,Kammanahalli,NA,https://www.swiggy.com/restaurants/ambur-star-briyani-since-1890-kammanahalli-kalyan-nagar-bangalore-487663
AnanBhav's Creations(ABC),"Snacks, American, Fast Food",NA,300,Kammanahalli,NA,https://www.swiggy.com/restaurants/ananbhavs-creations-abc-kammanahalli-kalyan-nagar-bangalore-533134
Keerthi Grand,"South Indian, North Indian, Biryani",NA,300,Kammanahalli,NA,https://www.swiggy.com/restaurants/keerthi-grand-kammanahalli-kalyan-nagar-bangalore-406382
Chang Lee,Chinese,NA,150,Kammanahalli,NA,https://www.swiggy.com/restaurants/chang-lee-kammanahalli-kalyan-nagar-bangalore-549958
ARCHANA FOODS,"Chinese, South Indian",NA,250,Kammanahalli,NA,https://www.swiggy.com/restaurants/archana-foods-kammanahalli-kalyan-nagar-bangalore-524659
JO s MOMOS,Fast Food,NA,200,Kammanahalli,NA,https://www.swiggy.com/restaurants/jo-s-momos-kammanahalli-kalyan-nagar-bangalore-441786
Dum Burger,"Burgers, Desserts",NA,300,Kammanahalli,NA,https://www.swiggy.com/restaurants/dum-burger-kalyan-nagar-kammanahalli-bangalore-358656
New kadai,"Chinese, North Indian, Beverages, Seafood",NA,300,Kammanahalli,NA,https://www.swiggy.com/restaurants/new-kadai-hrbr-layout-kalyan-nagar-bangalore-74152
Juice Day,Desserts,NA,250,Kammanahalli,NA,https://www.swiggy.com/restaurants/juice-day-hrbr-layout-kalyan-nagar-bangalore-52010
McCafe by McDonald's,"Beverages, Desserts",NA,250,Kammanahalli,NA,https://www.swiggy.com/restaurants/mccafe-by-mcdonalds-kamanahalli-kalyan-nagar-bangalore-192278
LAHAB MANDI & BBQ Multi Cuisine Restaurant,"Biryani, Chinese",3.7,400,Kammanahalli,NA,https://www.swiggy.com/restaurants/lahab-mandi-and-bbq-multi-cuisine-restaurant-kalyan-nagar-bangalore-296372
Mehfil Biryani by Zakir Khan,"Biryani, Mughlai, Lucknowi, Hyderabadi, Kebabs, North Indian, Desserts, Beverage...",NA,350,Kammanahalli,NA,https://www.swiggy.com/restaurants/mehfil-biryani-by-zakir-khan-kammanahalli-kalyan-nagar-hbr-bangalore-503964
Mejwani,Indian,NA,500,Kammanahalli,NA,https://www.swiggy.com/restaurants/mejwani-kammanahalli-kalyan-nagar-bangalore-537724
Chinese Food Court,"Chinese, Snacks",NA,200,Kammanahalli,NA,https://www.swiggy.com/restaurants/chinese-food-court-kammanahalli-kalyan-nagar-bangalore-545244
Anand Sweets and Savouries,"Sweets, Chaat, Snacks, Desserts, North Indian",NA,200,Kammanahalli,NA,https://www.swiggy.com/restaurants/anand-sweets-and-savouries-jayalakshmi-complex-kacharakanahalli-bangalore-15902
The Hole in the wall cafe,American,NA,300,Kammanahalli,NA,https://www.swiggy.com/restaurants/the-hole-in-the-wall-cafe-kammanahalli-kalyan-nagar-bangalore-327748
Frosty Crumble,"Desserts, Ice Cream",NA,400,Kammanahalli,NA,https://www.swiggy.com/restaurants/frosty-crumble-kalyan-nagar-bangalore-121907
AUNTIE FUNG'S,"Asian, Chinese, Thai",NA,500,Kammanahalli,NA,https://www.swiggy.com/restaurants/auntie-fungs-kalyan-nagar-kammanahalli-bangalore-277681
My Meal Menu,"Biryani, Indian",NA,300,Kammanahalli,NA,https://www.swiggy.com/restaurants/my-meal-menu-kammanahalli-kalyan-nagar-bangalore-557453
Byli,"Continental, Italian, Mexican, Desserts, American",NA,700,Kammanahalli,NA,https://www.swiggy.com/restaurants/byli-kammanahalli-kalyan-nagar-bangalore-227066
COASTAL DELIGHT,"Seafood, Coastal, Biryani, Mangalorean",NA,299,Kammanahalli,NA,https://www.swiggy.com/restaurants/coastal-delight-kammanahalli-kalyan-nagar-banaswadi-bangalore-253487
Delicacy,"Chinese, Thai",NA,450,Kammanahalli,NA,https://www.swiggy.com/restaurants/delicacy-chelekere-ring-road-kalyan-nagar-bangalore-8615
Krispy Kreme,"Desserts, Beverages",NA,170,Kammanahalli,NA,https://www.swiggy.com/restaurants/krispy-kreme-3rd-block-kalyan-nagar-bangalore-8737
Sri Udupi Food Hub,"South Indian, North Indian, Indian, Chinese, Combo, Chaat, Desserts, Beverages, ...",NA,199,Kammanahalli,NA,https://www.swiggy.com/restaurants/sri-udupi-food-hub-st-thomas-town-kacharakanahalli-bangalore-113297
Just Burger Off,Fast Food,NA,300,Kammanahalli,NA,https://www.swiggy.com/restaurants/just-burger-off-kammanahalli-kalyan-nagar-bangalore-327751
A hole lotta love cafe,American,NA,300,Kammanahalli,NA,https://www.swiggy.com/restaurants/a-hole-lotta-love-cafe-kammanahalli-kalyan-nagar-bangalore-327753
Real combo factory,Fast Food,NA,200,Kammanahalli,NA,https://www.swiggy.com/restaurants/real-combo-factory-kammanahalli-kalyan-nagar-bangalore-416245
Nadan Pothichoru,"South Indian, Kerala, Biryani",3.7,200,Kammanahalli,NA,https://www.swiggy.com/restaurants/nadan-pothichoru-kammanahalli-kalyan-nagar-dodda-banaswadi-bangalore-325577
Faasos - Wraps & Rolls,"Snacks, Beverages, Desserts, Indian",NA,200,Kammanahalli,NA,https://www.swiggy.com/restaurants/faasos-wraps-and-rolls-kasturi-nagar-bangalore-20236
BOWLSS OF BLISS,"Ice Cream, Healthy Food, American, Desserts, Beverages, Keto",NA,150,Kammanahalli,NA,https://www.swiggy.com/restaurants/bowlss-of-bliss-nehru-road-kacharakanahalli-bangalore-322167
Biriyani Bluez,"Biryani, Indian, Tandoor, Combo, Beverages",NA,450,Kammanahalli,NA,https://www.swiggy.com/restaurants/biriyani-bluez-kammanahalli-kalyan-nagar-bangalore-324589
KOLKATA ROLLS AND WRAPS,"Fast Food, Beverages, Bengali, North Indian, Snacks, Indian",NA,200,Kammanahalli,NA,https://www.swiggy.com/restaurants/kolkata-rolls-and-wraps-kammanahalli-kalyan-nagar-bangalore-512570
The Chocolate Heaven,"Desserts, Beverages, Italian, Bakery, Pizzas, Continental, Pastas",3.9,400,Kammanahalli,NA,https://www.swiggy.com/restaurants/the-chocolate-heaven-2nd-block-kalyan-nagar-bangalore-17064
Imperio Juice and Cafe,Juices,3.9,250,Kammanahalli,NA,https://www.swiggy.com/restaurants/imperio-juice-and-cafe-kammanahalli-kalyan-nagar-bangalore-288644
