Restaurant Name,Category,Rating,Cost for Two (in Rupees),Area,Offer,URL
Mega Biryani,"Biryani, Hyderabadi",NA,400,Arekere,NA,https://www.swiggy.com/restaurants/mega-biryani-arekere-bangalore-505844
The Bowl Company,"Continental, Indian, Pan-Asian, Desserts, Chinese, Biryani, Sweets",NA,300,Arekere,NA,https://www.swiggy.com/restaurants/the-bowl-company-arekere-bangalore-119069
homely,"Home Food, North Indian, South Indian, Beverages, Desserts, Thalis",NA,200,Arekere,NA,https://www.swiggy.com/restaurants/homely-arekere-bangalore-119068
Just Shawarma,Lebanese,3.7,150,Arekere,NA,https://www.swiggy.com/restaurants/just-shawarma-mico-layout-bilekahalli-bangalore-29483
NAMANA GARDEN,"South Indian, North Indian",3.3,140,Arekere,NA,https://www.swiggy.com/restaurants/namana-garden-btm-bommanahalli-bangalore-304141
Iyengars Bakery,Bakery,NA,100,Arekere,NA,https://www.swiggy.com/restaurants/iyengars-bakery-arekere-bilekahalli-bangalore-353593
Food Court By Kitchens@,"Biryani, Mughlai, Seafood, Kerala, Andhra, Chinese, North Indian, South Indian, ...",3.7,300,Arekere,NA,https://www.swiggy.com/restaurants/food-court-by-kitchens-jp-nagar-bangalore-352142
Mr. Pings kitchen,Chinese,NA,200,Arekere,NA,https://www.swiggy.com/restaurants/mr-pings-kitchen-arekere-bangalore-522026
Amma's Pastries,"Bakery, Desserts",NA,350,Arekere,NA,https://www.swiggy.com/restaurants/ammas-pastries-arekere-bangalore-377200
DESI CHOWK,"Indian, North Indian, Tandoor",3.8,299,Arekere,NA,https://www.swiggy.com/restaurants/desi-chowk-arekere-bangalore-459700
Gajanan Mithai Ghar,"Bakery, Snacks, Sweets",NA,100,Arekere,NA,https://www.swiggy.com/restaurants/gajanan-mithai-ghar-arekere-bangalore-216305
Oven Story Pizza,"Pizzas, Italian",3.7,400,Arekere,NA,https://www.swiggy.com/restaurants/oven-story-pizza-main-road-arekere-bangalore-19452
Rolls Mania,North Indian,NA,200,Arekere,NA,https://www.swiggy.com/restaurants/rolls-mania-arekere-bangalore-562885
Miya Bhai Barbeques,"Arabian, Snacks",NA,250,Arekere,NA,https://www.swiggy.com/restaurants/miya-bhai-barbeques-arekere-bangalore-494929
Pastas By Pizza Hut,"Pastas, Pizzas, Italian, Fast Food, Beverages",NA,300,Arekere,NA,https://www.swiggy.com/restaurants/pastas-by-pizza-hut-bannergatta-2-109-bilekahalli-bangalore-513333
Superman Momos,"Chinese, Tibetan, Nepalese, Beverages, Pizzas, Combo",NA,800,Arekere,NA,https://www.swiggy.com/restaurants/superman-momos-jp-nagar-bangalore-437935
WELCOME FOOD JUNCTION,"North Indian, Chinese, Biryani",NA,500,Arekere,NA,https://www.swiggy.com/restaurants/welcome-food-junction-arekere-hongasandra-bangalore-498177
Zomoz - The Momo Company,"Tibetan, Chinese, Asian, Street Food, Fast Food",NA,250,Arekere,NA,https://www.swiggy.com/restaurants/zomoz-the-momo-company-main-road-arekere-bangalore-308508
Five Star Chicken,"Fast Food, Snacks",NA,260,Arekere,NA,https://www.swiggy.com/restaurants/five-star-chicken-arekere-bangalore-488247
Chakka Manga Thenga,"Kerala, Seafood",NA,250,Arekere,NA,https://www.swiggy.com/restaurants/chakka-manga-thenga-arekere-hulimavu-bangalore-298897
Chaat & Chinese By Just Delicious,"Chaat, Snacks, Indian",NA,250,Arekere,NA,https://www.swiggy.com/restaurants/chaat-and-chinese-by-just-delicious-arekere-bangalore-559413
NOTO - Healthy Ice Cream,"Ice Cream, Healthy Food, Desserts",NA,300,Arekere,NA,https://www.swiggy.com/restaurants/noto-healthy-ice-cream-arekere-bangalore-384086
cafe kanthari,"Kerala, South Indian",NA,250,Arekere,NA,https://www.swiggy.com/restaurants/cafe-kanthari-road-begur-bangalore-262408
Madras Meal Company,"Chettinad, South Indian",3.9,250,Arekere,NA,https://www.swiggy.com/restaurants/madras-meal-company-arekere-bangalore-409542
ZAZA 22 Spice Biryani,"Biryani, North Indian, Mughlai",3.4,250,Arekere,NA,https://www.swiggy.com/restaurants/zaza-22-spice-biryani-arakere-mico-layout-main-road-arekere-bangalore-390988
Maa Reddy's Hyderabadi Biryani House,"Biryani, Indian, Andhra, Chinese, Hyderabadi, Seafood",3.4,400,Arekere,NA,https://www.swiggy.com/restaurants/maa-reddys-hyderabadi-biryani-house-arekere-j-p-nagar-bangalore-306690
Wow! Momo,"Tibetan, Healthy Food, Asian, Chinese, Snacks, Continental, Desserts, Beverages",NA,250,Arekere,NA,https://www.swiggy.com/restaurants/wow-momo-royal-meenakshi-mall-wow-momo-hulimavu-bangalore-190042
JAKAAS PIZZA ZONE,"Bengali, Punjabi, Fast Food",NA,250,Arekere,NA,https://www.swiggy.com/restaurants/jakaas-pizza-zone-kodichikanahalli-main-road-arekere-bangalore-203131
UDUPI UPAHAR,"Chinese, South Indian, Beverages",NA,100,Arekere,NA,https://www.swiggy.com/restaurants/udupi-upahar-arekere-bangalore-423665
NEW HOT GRILL,"Arabian, North Indian, Chinese",NA,350,Arekere,NA,https://www.swiggy.com/restaurants/new-hot-grill-arekere-bangalore-471947
Juice Shop,"Juices, Ice Cream, Desserts, Beverages",NA,150,Arekere,NA,https://www.swiggy.com/restaurants/juice-shop-arekere-j-p-nagar-bangalore-248123
5461 CAFE,American,NA,200,Arekere,NA,https://www.swiggy.com/restaurants/5461-cafe-arekere-bangalore-448707
SRI RADHE RASOI,"North Indian, Desserts, Beverages",NA,250,Arekere,NA,https://www.swiggy.com/restaurants/sri-radhe-rasoi-2nd-cross-hulimavu-bangalore-248365
